,key,site,date,number,genID,genSp,sex,fieldPlantID,finalPlantID,samplingDay,sampingRound,collector,uniqueID,genus_species,genus,family,determiner.y,lat,long,state,country,county
82,Colias_eurytheme,JC,71512,16,sulfur,Colias eurytheme,f,Erigeron subtrinervis,Erigeron subtrinervis,4,1,LCP,EMEC_SI_JC_071512_16,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
83,Colias_eurytheme,JC,71612,152,Sulfur,Colias eurytheme,f,Western wallflower,Erysimum capitatum,5,1,HLS,EMEC_SI_JC_071612_152,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
84,Colias_eurytheme,SC,72712,266,sulfur,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,EMEC_SI_SC_072712_266,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á12'22.86""N","106Á26'36.15""W",New Mexico,USA,Bernalillo
85,Colias_eurytheme,PL,81112,229,bee,,,yellow pond flower,Hypericum scouleri,3,1,LCP,EMEC_SI_PL_081112_229,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
86,Colias_eurytheme,JC,71712,13,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,EMEC_SI_JC_071712_13,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
87,Colias_eurytheme,JC,71712,11,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,EMEC_SI_JC_071712_11,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
88,Colias_eurytheme,MM,80112,241,sulfur,,,yellow brassica,Erysimum capitatum,2,1,HLS,EMEC_SI_MM_080112_241,Colias eurytheme,Colias,Pieridae,L.Ponisio," 33Á59'29.31""N","107Á11'1.23""W",New Mexico,USA,Socorro
89,Colias_eurytheme,JC,71612,9,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,EMEC_SI_JC_071612_9,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
90,Colias_eurytheme,SC,72012,325,sulfur,Colias eurytheme,f,Erigeron subtrinervis,Erigeron subtrinervis,1,1,HLS,EMEC_SI_SC_072012_325,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á12'22.86""N","106Á26'36.15""W",New Mexico,USA,Bernalillo
91,Colias_eurytheme,PL,80912,401,sulfur,Colias eurytheme,,wall flower,Erysimum capitatum,1,1,LCP,EMEC_SI_PL_080912_401,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
92,Colias_eurytheme,PL,81212,287,vanessa,,,yarrow,Achillea millefolium,4,1,HLS,EMEC_SI_PL_081212_287,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
93,Epargyreus_clarus,PL,81112,280,skipper,,,purple flower,Glandularia bipinnatifida,3,1,HLS,EMEC_SI_PL_081112_280,Epargyreus clarus,Epargyreus,Hesperiidae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
94,Epargyreus_clarus,PL,80912,372,skipper,,,purple flower,Glandularia bipinnatifida,1,1,LCP,EMEC_SI_PL_080912_372,Epargyreus clarus,Epargyreus,Hesperiidae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
95,Epargyreus_clarus,PL,81012,324,skipper,,,purple flower,Glandularia bipinnatifida,2,1,LCP,EMEC_SI_PL_081012_324,Epargyreus clarus,Epargyreus,Hesperiidae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
96,Epargyreus_clarus,PL,81212,296,skipper,,,purple flower,Glandularia bipinnatifida,4,1,LCP,EMEC_SI_PL_081212_296,Epargyreus clarus,Epargyreus,Hesperiidae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
